date,description,amount,currency
2024-01-02,AMAZON MARKETPLACE,-45.99,EUR
2024-01-03,SALARY PAYMENT,3500.00,EUR
2024-01-05,CARREFOUR SUPERMARKET,-62.30,EUR
2024-01-07,NETFLIX SUBSCRIPTION,-15.99,EUR
2024-01-08,UBER TRIP,-12.50,EUR
2024-01-10,ELECTRICITY BILL,-89.00,EUR
2024-01-12,AMAZON MARKETPLACE,-23.49,EUR
2024-01-15,RESTAURANT LE PETIT,-38.00,EUR
2024-01-17,GYM MEMBERSHIP,-30.00,EUR
2024-01-20,FREELANCE PAYMENT,850.00,EUR
2024-01-22,CARREFOUR SUPERMARKET,-55.10,EUR
2024-01-24,SPOTIFY,-9.99,EUR
2024-01-25,UBER TRIP,-8.75,EUR
2024-01-27,PHARMACY,-14.20,EUR
2024-01-30,INTERNET BILL,-39.99,EUR